,A,B,C,D,E,F,G
10.0,10209654,10161196,8979048,6716416,6628356,6556242,8829712
24.0,10837290,10773878,9035520,6841344,7008894,7056170,9534256
37.0,11385252,10427046,9442408,7183872,7289730,7341048,9751204
