,A,B,C,D,E,F,G,H,I
5.0,12135,13128,12989,12497,13270,12042,13128,13128,12123
12.0,12686,13725,13126,13049,13842,12773,13725,13725,12674
19.0,13247,14390,14503,13345,14494,13052,14390,14390,13004
