,A,B,D,E,F,G,H,I,J,K,L
2.0,495,460,465,495,475,500,460,495,470,495,465
4.0,495,460,465,495,475,500,460,495,470,495,465
6.0,495,460,465,495,475,500,460,495,470,495,465
