,C,D,E,F,G,H,J,K
7.0,22282,23795,22108,21720,22320,24820,22804,21621
10.0,22234,24267,21860,21567,22223,24918,23149,21440
13.0,22449,24708,22074,21898,22320,21760,23080,22029
