,subjFloor,floorLv,unitNo,price,npsf,nfa
15.0/F低層A,15.0,低層,A,10083070,15394,655
31.0/F中層A,31.0,中層,A,10261683,15619,657
48.0/F高層A,48.0,高層,A,10751825,16415,655
15.0/F低層B,15.0,低層,B,10477252,15476,677
31.0/F中層B,31.0,中層,B,10324125,15295,675
48.0/F高層B,48.0,高層,B,10570811,15707,673
15.0/F低層C,15.0,低層,C,9088611,14973,607
31.0/F中層C,31.0,中層,C,9774174,16129,606
48.0/F高層C,48.0,高層,C,10201510,16862,605
15.0/F低層D,15.0,低層,D,11698425,14715,795
31.0/F中層D,31.0,中層,D,12144230,15295,794
48.0/F高層D,48.0,高層,D,12366494,15634,791
15.0/F低層E,15.0,低層,E,8035180,16810,478
31.0/F中層E,31.0,中層,E,8547363,17919,477
48.0/F高層E,48.0,高層,E,8816868,18484,477
15.0/F低層F,15.0,低層,F,7162557,15537,461
31.0/F中層F,31.0,中層,F,7716679,16739,461
48.0/F高層F,48.0,高層,F,7784446,16886,461
15.0/F低層G,15.0,低層,G,7365995,16189,455
31.0/F中層G,31.0,中層,G,7495670,16474,455
48.0/F高層G,48.0,高層,G,7820150,17225,454
15.0/F低層H,15.0,低層,H,7676838,16094,477
31.0/F中層H,31.0,中層,H,8085627,16951,477
48.0/F高層H,48.0,高層,H,7932975,16701,475
15.0/F低層J,15.0,低層,J,9610000,15376,625
31.0/F中層J,31.0,中層,J,9872928,15822,624
48.0/F高層J,48.0,高層,J,10243125,16389,625
15.0/F低層K,15.0,低層,K,10429862,15406,677
31.0/F中層K,31.0,中層,K,10984278,16201,678
48.0/F高層K,48.0,高層,K,10945736,16168,677
15.0/F低層L,15.0,低層,L,7809500,15619,500
31.0/F中層L,31.0,中層,L,8228454,16523,498
48.0/F高層L,48.0,高層,L,8200500,16401,500
