,A,B,C,D,E,F,G,H,I,J
2.0,6134,6224,6204,6189,6189,6171,6189,6204,6224,6134
3.0,6164,6255,6235,6219,6219,6202,6219,6235,6255,6164
4.0,6194,6286,6266,6250,6250,6232,6250,6266,6869,6194
