,A,B,C,D,E,F,G,H,J
17.0,6624618,5436717,10982361,6999360,6510486,6423510,8434675,6796293,6712688
37.0,7250628,6063668,11634441,7957566,7012200,6991740,9207475,7389900,6981344
58.0,7633164,14035560,12567231,8355555,7633546,7437909,9867633,15115351,7555312
