,1,1 & 8,18,2,3,4,5,6,7,8
9.0,5451480,14878000,14878000,5476940,6924780,7309830,6931200,6876960,6839040,6851520
18.0,5738000,15580620,14147860,5684800,7334820,7506690,7296480,7225440,7201920,7197120
28.0,5979680,15554820,15554820,6032880,7724970,7925400,7722720,7726560,7705920,7628160
