,A,B,C,D,E,F,G,H,J,K,L,M
6.0,494,589,494,451,589,495,495,589,495,450,589,494
16.0,494,589,494,451,589,495,495,589,495,450,589,494
25.0,494,589,494,451,589,495,495,589,495,450,589,494
