,A,B,C,D,E,F,G,H,I,J,K,L
2.0,8621,9071,9012,9159,9130,9130,9130,8735,8918,8955,8882,8502
4.0,8709,9163,9104,9252,9223,9421,9223,8822,9008,9067,8972,8589
6.0,8794,9253,9193,9342,9313,9313,9313,8907,9096,9135,9060,8673
