,A,B,C,D,E,F,G,H,I,whole floor
4.0,7326,8205,8488,8182,7478,7401,8236,8082,8214,8205
8.0,7502,8406,8776,8383,8460,7579,8437,8287,8415,8406
12.0,7787,8577,8922,8593,8671,7767,8648,8497,8624,8616
