,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
3.0,14058,14501,14908,14180,14096,14205,14205,14070,14325,14205,14180,14180,14215,14215,14058,14191
6.0,14225,14683,15114,14348,14269,14372,14372,14424,14502,14372,14348,14348,14382,14382,14225,14358
10.0,14458,14840,15390,14580,14498,14605,14605,14656,14656,14605,14580,14580,14615,14615,14458,14591
