,A,AB,B,C,D,E,EF,F,G,H,HJ,J
5.0,10882032,15474660,6553411,6735098,8868510,11683116,17583315,8426792,11392920,6273450,14419975,9523332
10.0,11121059,15931152,6763561,7282648,9122085,12026856,18101871,8674358,11728530,6861600,14841325,9806433
18.0,11633867,16655676,7082055,7734668,9510165,12626379,18925653,9056278,12270060,7327800,15523700,10287771
