,A,B,C,E,F,G,H,I,J,K,L
2.0,9437,9437,9493,9437,9541,9437,8641,9443,9392,9282,9797
3.0,9468,9468,9472,9468,9531,9468,8669,9707,9422,9312,9828
4.0,9498,9498,9500,9498,9599,9498,8698,9739,9452,9341,9859
