,A,B,C,D,E,F,G,H
10.0,10197,10164,9061,9846,9045,10028,9812,10097
21.0,10619,9802,9733,10326,9704,10436,10326,10511
32.0,11241,10455,10383,10949,10362,11054,10963,10378
