,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
4.0/F低層A,4.0,低層,A,14841315,18255,813,310,4,HQB
10.0/F中層A,10.0,中層,A,15280335,18795,813,314,4,HQB
15.0/F高層A,15.0,高層,A,15821793,19461,813,356,5,HQB
4.0/F低層B,4.0,低層,B,11445252,17108,669,327,4,HQB
10.0/F中層B,10.0,中層,B,11820561,17669,669,331,4,HQB
15.0/F高層B,15.0,高層,B,12126963,18127,669,315,4,HQB
4.0/F低層C,4.0,低層,C,8497665,17167,495,370,4,HQB
10.0/F中層C,10.0,中層,C,8732295,17641,495,367,4,HQB
15.0/F高層C,15.0,高層,C,8940690,18062,495,351,4,HQB
4.0/F低層D,4.0,低層,D,9179000,16750,548,334,3,HQB
10.0/F中層D,10.0,中層,D,9471084,17283,548,324,3,HQB
15.0/F高層D,15.0,高層,D,9754948,17801,548,384,4,HQB
4.0/F低層E,4.0,低層,E,9225032,16834,548,347,4,HQB
10.0/F中層E,10.0,中層,E,9684256,17672,548,353,4,HQB
15.0/F高層E,15.0,高層,E,9931952,18124,548,381,4,HQB
4.0/F低層F,4.0,低層,F,8694000,17388,500,334,4,HQB
10.0/F中層F,10.0,中層,F,8842000,17684,500,321,4,HQB
15.0/F高層F,15.0,高層,F,9072000,18144,500,311,4,HQB
4.0/F低層G,4.0,低層,G,11255925,16825,669,348,3,HQB
10.0/F中層G,10.0,中層,G,11609826,17354,669,348,3,HQB
15.0/F高層G,15.0,高層,G,11908869,17801,669,331,3,HQB
4.0/F低層H,4.0,低層,H,14456766,17782,813,347,3,HQB
10.0/F中層H,10.0,中層,H,15243750,18750,813,356,4,HQB
15.0/F高層H,15.0,高層,H,15633177,19229,813,339,4,HQB
