,1,10,10A10B,11,12,13,13-19,14,15,16,17,1718,18,19,2,20,3,4,45,5,6,67,7,8,9,RM 1-5,RM 6FLAT 16,RM 7,RM 8,RM6FLAT 16
18.0,720,1040,1324,700,655,440,,1050,587,1025,1045,1642,597,1276,1150,770,1045,1410,,950,556,1200,585,391,630,900,428,1250,1405,428
29.0,720,1040,1324,700,655,440,,1050,587,1050,1045,1642,597,1276,1150,770,1045,1410,,916,556,1200,585,391,630,900,428,1250,1405,428
40.0,755,1040,1324,744,655,440,,1050,587,1095,947,1642,597,1470,1150,770,1045,1400,,950,715,1200,618,430,607,900,428,1250,1405,428
