,A,B,C,D,E,F,G,H,J
8.0,11768904,5928412,6552780,7609452,8220432,12233403,10744321,7717601,9128448
16.0,13174980,6070414,6715344,7711620,8277984,12776400,10866995,7848525,9755136
24.0,13461156,12774132,17078402,6585410,8592672,13507767,12286614,8197502,9707904
