,A,B,C,D,E,G,H,I,J,K,L
3.0,373,360,369,369,369,306,354,327,662,391,396
5.0,373,360,369,369,369,306,354,327,662,391,396
7.0,373,360,369,369,360,306,354,327,640,391,396
