,1,10,11,12,13,14,1404,15,1517,16B,17,18,19,1A,1B,1B & 1C,1B1C,2,2203,3,4,5,6,7,8,9,9A
14.0,7919,8147,9562,7705,8292,8574,8236,8232,8141,9760,8141,8221,8323,8063,8288,7867,7867,8243,7417,8182,7797,8025,8235,8204,8543,8260,8273
18.0,8395,8283,9640,7906,8600,8806,8456,8455,8358,9136,8358,8024,8733,8279,8513,8081,8081,8462,7620,8400,8456,8239,8454,8423,8776,8484,8498
23.0,,8706,9792,8148,8867,9076,8720,8713,8620,9420,8620,8269,9004,8767,8772,8332,8332,6804,7857,8255,7053,8253,8770,6986,8349,8742,8757
