,A,B,C,D,E,F,G
3.0,13425324,15756498,13856241,13946049,15093029,15093029,13969492
6.0,14282814,16063179,14182692,14253291,15425558,15425558,14277340
8.0,13953150,16266956,14400955,11956581,15646687,12978657,11977116
