,A,B,C,D,E,E & F,F
5.0,10978314,10978314,8866368,8744288,6338955,17397958,9307812
10.0,11167972,11167972,9022497,8899303,6727826,17706644,9479160
17.0,,11431046,9243863,9123534,6634313,18146327,9728322
