,A,B,C,D,E,F,G,H
9.0,4653271,6261016,5462080,4752540,4848870,6333376,6261016,5283096
20.0,4853163,6466304,5501600,4877730,5004480,6563856,6381080,5024971
30.0,5275662,6678024,5515328,4994730,5178030,6602984,6633536,5400388
