,A,B,C,D,E,F,G,H,J,K,L
3.0,5070065,5570730,4405185,5829580,5577374,5857640,5870980,3674250,5359770,5624790,4107950
6.0,5161310,5672730,5509215,5730610,5680620,5939060,5985060,3740145,5466690,5713020,4194575
8.0,5222140,6426000,3714956,4810575,5749590,6097760,4968960,3783960,5533515,6336240,4243855
