,LA,LARA,LARD,LB,LC,LD,LDRD,RA,RARD,RB,RC,RCRD,RD
15.0,791,1584,1561,930,739,774,1545,796,1567,949,743,1516,774
35.0,790,1584,1561,930,739,773,1545,794,1567,949,743,1516,773
56.0,789,1584,1561,930,739,773,1545,793,1565,949,743,1516,772
