,1,10,11,12,13,14,15,16,17,18,19,2,20,21,21A,21B,22,23,23A,23B,24,25,26,27,28,3,4,5,5A,5B,5C,5D,5E,6,7,7A,7B,7C,7D,7E,8,9
5.0,5230690,5230690,5230690,5067520,5096010,5266950,5040880,5230690,4946160,5109330,5203310,5039030,5207750,3947060,3973060,3900928,5229210,3855800,3875040,4082562,4955780,5230690,5230690,5080100,5104150,5230690,5230690,4047570,4044330,4091310,3953610,4079430,4282740,5083060,3990600,4044330,3739230,4044330,3851550,4433080,5004250,5000180
12.0,5353530,5353530,5353530,5319490,5319490,5457870,5276200,5353530,5062710,5336510,5151880,5259550,5353530,4127500,4158440,4040960,5363150,3943680,3958240,4337820,5064190,5353530,5353530,5353530,5329850,5353530,5353530,4024890,3971700,4025700,3979530,4137750,4376610,5305060,4101840,3971700,3926610,4048920,3991410,4482200,5223290,5314310
18.0,5517810,5517810,5517810,5524840,5508190,5681350,5434560,5517810,5517810,5528170,5225510,5445660,5517810,4309760,4417660,4268288,5548890,4092400,4268940,4559931,5211080,5517810,5517810,5517810,5520030,5517810,5517810,4170690,4414770,4169880,4106700,4429350,4539150,5493760,4253580,4414770,3840750,4139640,4144770,5017915,5452690,5481550
