,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9,whole floor
6.0,622,474,479,622,622,494,474,501,479,474,501,501,474,494,622,501,479
14.0,622,474,479,622,622,494,474,501,479,474,501,501,474,494,622,501,479
23.0,622,474,479,622,622,494,474,501,479,474,501,501,474,494,622,501,479
