,A,AB,B,C,D,E,F,G,GH,H
5.0,18538,10143,10327,10084,12553,12711,10123,10220,10143,18593
10.0,18232,10383,10635,10449,12843,13003,10401,10334,10383,19191
18.0,19003,10629,11007,11483,12986,13493,10808,11249,10629,19708
