,LA,LALB,LALC,LARA,LB,LC,LCLD,LCRA,LD,RA,RB,RC,RCRD,RD
25.0,1140,2275,1958,1943,1135,819,1603,1624,783,805,928,746,1530,783
64.0,1139,2275,1958,1943,1885,819,1602,1624,782,804,928,746,1528,782
102.0,,,,,,,,,,,,,,
