,1,2,3,4,5,6,7,8,D1,D3,D6,D7,D8
7.0,9959,10565,10825,10669,9890,9839,10381,9890,10432,10371,9839,9839,9890
12.0,10218,10840,11106,10947,10147,9865,10657,10147,10667,10685,10094,10094,10147
17.0,10477,11115,11388,11224,10405,10350,10918,10405,10911,10934,10350,10350,10405
