,1,10,2,3,4,5,6,7,8,9,F10,F3,F7,F8,F9
4.0,11035,11414,11035,11499,11411,11383,11305,11414,11610,11303,12128,11428,10259,11558,11207
7.0,11346,11693,11346,11779,11693,11671,11585,11693,11583,11583,12432,11708,10508,11847,11490
10.0,11581,11833,11581,12066,11982,11961,11871,11833,11869,11869,12589,11995,10748,12133,11777
