,A,AB,B,C,D,E,F,G,H
8.0,15249,22222,15713,14744,13015,16052,15691,16040,15634
20.0,16341,21999,16517,16519,14319,16708,16618,16626,16288
33.0,16024,23286,16369,15622,15191,17683,16687,16750,17419
