,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8
5.0,14341,14248,14679,14522,13723,14488,13698,13832,14536,14262,14206,13585,13884,14205,13555,14225
12.0,15064,14894,15852,15473,14315,14598,14288,14539,15244,14515,14851,13733,14609,14848,13819,14675
19.0,15631,15421,16403,15829,14879,15290,14858,15060,15791,15494,15438,14463,15052,15475,14752,14754
