,LA,LALCRD,LB,LC,LD,LDRD,RA,RARD,RB,RC,RD,RDLD
25.0,790,,941,735,773,1546,794,1564,943,735,773,1546
63.0,788,,941,735,772,1546,792,1564,943,735,772,1546
102.0,,,,,,,,,,,,
