,1,2,3,4,5,6,7,8,A1,A4,A5,A6,A7,A8
4.0,624,570,575,590,590,590,570,624,624,404,555,590,570,624
8.0,624,570,575,590,590,590,570,624,624,404,555,590,570,624
11.0,624,570,540,404,421,555,570,624,624,404,555,590,570,624
