,1,2,3,4,5,6,7,8,C2,C3,C4,C6,C7,C8
4.0,538,538,655,655,586,586,655,655,538,655,655,586,655,655
10.0,538,538,655,655,586,586,655,655,538,655,655,586,655,655
15.0,538,538,655,655,586,586,655,655,538,655,655,586,655,655
