,A,B,C,D,DE,E,F
6.0,8145559,8111925,8216325,7586280,13913235,8046036,6975488
13.0,8464566,8593665,8279289,8051004,14376285,8311248,7125664
21.0,8785888,9135182,8715720,8599500,14903595,8767260,7345312
