,A,B,C,D,E,F,G,H,J,K,L,M
7.0,495,592,592,592,592,452,452,592,592,592,592,495
18.0,495,592,592,592,592,452,452,592,592,592,592,495
28.0,495,592,592,592,592,452,452,592,592,592,592,495
