,A,B,C,D,E,F,G,H,J,K
3.0,4019652,4123500,3126960,3093480,3610528,4293850,3366516,3723930,3328875,3328875
6.0,4422236,4543125,3443010,3404960,3486496,4733575,3704634,4134375,3500475,3500475
8.0,4690868,4824000,3654312,3601938,3697296,5026725,3971406,5068350,3711950,3711950
