,10,12,13,15,17,2,23,26,27,3,32,35,36,37,38,4,6,7,8
7.0,2805026,2876842,2966994,2802352,2802734,2888684,2368611,3104712,2903460,4295784,2720436,2855472,2829804,2841808,3535100,4278176,2818014,3462990,3400245
15.0,2827946,2947512,3023148,2831384,2819924,2945220,2401616,3168324,2916852,4425856,2858820,2776236,2848032,2906820,3636760,4405408,2836732,3545760,3491470
22.0,2984566,3012070,3089234,2975398,2980746,3006722,2514407,3231936,3025476,4428696,2890440,2919456,3001296,2968434,3605940,4404840,2991824,3616515,3560445
