,A,B,C,D,E,F,G
6.0,11848002,10592040,6708366,5240310,7062699,5577750,6488240
10.0,12133107,9313632,6871662,4087086,3751875,5836840,6211120
13.0,12347451,13653720,6993756,4161288,3817494,5941647,6410445
