,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層1,7.0,低層,1,6449300,9922,650,146,2,NTKO
22.0/F中層1,22.0,中層,1,6743100,10374,650,172,2,NTKO
34.0/F高層1,34.0,高層,1,6977750,10735,650,152,2,NTKO
7.0/F低層2,7.0,低層,2,6508450,10013,650,216,3,NTKO
22.0/F中層2,22.0,中層,2,6813300,10482,650,265,3,NTKO
34.0/F高層2,34.0,高層,2,7067450,10873,650,260,3,NTKO
7.0/F低層3,7.0,低層,3,5343866,10561,506,112,2,NTKO
22.0/F中層3,22.0,中層,3,5586746,11041,506,138,2,NTKO
34.0/F高層3,34.0,高層,3,5781050,11425,506,118,2,NTKO
7.0/F低層4,7.0,低層,4,5343866,10561,506,112,2,NTKO
22.0/F中層4,22.0,中層,4,5586746,11041,506,138,2,NTKO
34.0/F高層4,34.0,高層,4,5781050,11425,506,118,2,NTKO
7.0/F低層5,7.0,低層,5,6451900,9926,650,181,2,NTKO
22.0/F中層5,22.0,中層,5,6745050,10377,650,212,2,NTKO
34.0/F高層5,34.0,高層,5,6979700,10738,650,186,2,NTKO
7.0/F低層6,7.0,低層,6,6446700,9918,650,184,2,NTKO
22.0/F中層6,22.0,中層,6,6740500,10370,650,217,2,NTKO
34.0/F高層6,34.0,高層,6,6975150,10731,650,193,2,NTKO
7.0/F低層7,7.0,低層,7,5343866,10561,506,112,2,NTKO
22.0/F中層7,22.0,中層,7,5586746,11041,506,138,2,NTKO
34.0/F高層7,34.0,高層,7,5781050,11425,506,118,2,NTKO
7.0/F低層8,7.0,低層,8,5343866,10561,506,112,2,NTKO
22.0/F中層8,22.0,中層,8,5586746,11041,506,138,2,NTKO
34.0/F高層8,34.0,高層,8,5781050,11425,506,118,2,NTKO
