,1,2,3,4,5,6,7,8,9
4.0,13578,12737,13630,13778,12965,13469,13603,13050,12332
8.0,13840,13288,13968,14262,13283,13986,13614,13377,12643
11.0,14179,13304,14232,14337,13575,14225,14204,13632,12884
