,LA,LALB,LARA,LB,LC,LD,RA,RARB,RB,RBRC,RC,RD
25.0,761,1711,1452,950,749,680,691,1811,1120,1874,754,750
62.0,761,1711,1452,950,749,680,691,1811,1120,1874,754,750
101.0,,,,,,,,,,,,
