,A,B,C,D,E,F,G,H,HJ,J
5.0,9416550,9051790,8632140,7336800,6879150,8035200,6986700,,,8632140
12.0,9818250,9437310,9002760,7672950,7190550,8928900,7291350,,,9002760
20.0,10747100,10276670,9866960,8097750,7558650,8766900,7995150,,,9866960
