,A,B,C,D,E,F,G,H
16.0,7249275,7950600,8240276,7133904,7128348,8472628,8090250,7592805
32.0,7983360,8577975,9115980,7806180,7758491,9467796,8115975,8070480
49.0,8805060,8818425,10332540,8229362,8439564,9576300,8988000,8144235
