,A,B,C,D,E,E1,F,G,H,I,J,K,L,M,N,O
4.0,6377305,5094375,6013990,6395850,6395850,,5861490,5094375,5123131,4234615,3957840,4140000,4702438,3536840,4059530,4416800
10.0,6659235,5325700,6207970,6607520,6607520,,6014600,5325700,5349201,4390540,3451625,3766503,4823104,3657480,4222702,4591336
16.0,6887320,5502400,6392190,6817970,6817970,,4962342,5450590,5395858,4532220,3665024,3886103,4393232,3775800,4787577,4634272
