,1,2,3,4,5,6,B3,B4,B6,D2,D3,D4,D5,D6,F2,F3,H6,J1,J2,J3,J4,J6
4.0,595,540,415,415,540,595,415,415,595,540,415,415,540,595,540,415,595,595,540,415,415,595
8.0,570,540,415,415,540,595,415,415,595,540,415,415,540,595,540,415,595,595,540,415,415,595
12.0,595,540,415,415,540,595,415,415,510,540,415,415,540,595,540,415,595,595,540,415,415,595
