,A,B,C,D,E,F,G,H,I,J
5.0,3856140,3529880,3421770,5260725,3856140,3758010,3801840,3965680,4347420,3551670
10.0,4020790,3680840,3567960,5485780,4020790,3918655,3964265,4134780,4533060,3703176
14.0,4152880,3801200,3684780,5665515,4152880,4047171,4093840,4270440,4681740,3824586
