,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9
8.0,6959,7513,7273,7505,7530,8945,7552,7537,,,,7513,,,,,,7513,7282,7530,7556,7552,7633,7478
20.0,8542,7205,7531,7577,7512,7475,7516,7784,,,,8524,,,,,,7555,7472,7502,7640,7525,7942,7706
33.0,7899,7617,7831,7889,7819,7764,7862,7953,,,,7860,,,,,,7860,7793,7737,7885,7862,8085,7814
