,4,5-7,A,B,C,D,E,F,G,H,I,J,K,L,M,N
4.0,7285980,,5700240,5090355,5254425,5723436,5220640,5331150,5025720,5229270,5602000,4905440,4665930,4665930,4695170,5164000
10.0,7619820,,5818400,5234040,5289570,5817215,5289794,5420745,5203815,5316570,5670500,4973380,4831050,4831050,4866740,5322000
15.0,7972380,,5995920,5534430,5497965,5955886,5475341,5486580,5645565,5380590,6125000,5120010,5233960,5233960,5252450,5458000
