,A,B,C,D,E,F,G,H,J
5.0,16117,16977,17350,15989,16563,16383,15469,16709,15409
8.0,17150,17810,18939,17483,16094,17321,15730,17050,15898
12.0,18104,18411,19072,18947,16516,17486,16180,17588,16622
