,10,12,38,5,6,7,8,9,whole floor
3.0,11195,11472,11771,11516,11444,11777,11771,11773,10476
8.0,11263,11850,11878,11903,11822,11956,11878,11880,11646
12.0,11555,12161,12189,12220,12131,12266,12189,12192,11963
