,1,2,3,4,5,6,A1,A2,A5,C3,C4,C6,D1,D3,D5,E1,E4,E5,F1,F4,F5,G1,G2,G3,G4,G6,H2,H6,I2,I3,I5,I6,J2,J5,J6
4.0,5953320,5976780,5200850,5403800,5045040,4790100,6225180,5931700,5230680,4995030,5298430,5361720,6128580,5403800,5125680,6103740,4979450,5427660,5661680,4799050,5263020,5922040,5990580,5403800,5270550,5255460,6071540,5061840,5985060,5403800,5047560,5517960,5970340,5386920,5045040
8.0,6312120,6346620,5341070,5320570,5375160,5477220,6463460,6248180,5373480,5028240,5452590,5444880,6408720,5320570,5432280,6382960,5321390,5516280,5859940,4964280,5517120,6186540,6257380,5320570,5418150,5569620,6551780,5248740,6251860,5320570,5223960,5933340,6238520,5519640,5416740
12.0,6595020,6561900,5659230,5458740,5386080,5510400,6688860,6529240,5344500,5161900,5533360,5409600,6694840,5458740,5390280,6671380,5513270,5581380,6341560,5098760,5473860,6457940,6533840,5458740,5759270,5528880,6642860,5431020,6528320,5458740,5386500,6000540,6516820,5403720,5051720
