,A,B,C,D,E,F,G,H,J,K,L,M
10.0,396,396,400,358,358,400,365,365,352,323,323,352
21.0,396,396,400,358,358,400,365,365,352,323,323,352
31.0,396,396,400,358,358,400,365,365,356,323,323,352
