,B,C,D,E,F,G,H,I,J,K,L,M,N,O,O1,P,Q
3.0,335,335,365,340,340,335,330,330,330,330,335,340,345,335,255,310,315
6.0,335,335,365,340,340,335,330,330,330,330,335,340,345,335,255,310,315
9.0,335,335,365,340,340,335,330,330,330,330,335,340,345,335,255,310,315
