,A,B,C,E,F,G,H,whole floor
3.0,7851,8132,8178,8113,7976,8185,6920,8319
6.0,8011,8285,8015,8266,8127,8339,8148,8525
9.0,8161,8441,8593,8421,8280,8544,8301,8722
