,A,B,BC,C,D,E,F,G,H
4.0,16564,15999,15705,17799,16143,15727,16620,16196,16503
11.0,16986,16948,16434,18138,16979,16067,16986,16900,17191
18.0,17690,17406,17164,18766,17476,16808,17843,17596,17895
