,A,B,C,CD,D,E,F,G,H
4.0,12012,11595,10499,10290,11406,11837,10849,10883,10138
8.0,12443,12407,10782,10635,11824,12247,11211,11260,10470
14.0,12838,13042,11698,11152,12447,12837,11761,12244,10986
