,A,B,C,D,E,F,G,H,J
17.0,14339,14421,14821,14582,13971,13814,14669,14071,14467
37.0,15694,16084,15701,14986,15080,15036,16013,15300,15046
58.0,16522,15190,17239,15795,16381,15927,17221,14087,16283
