,B,C,D,E,F,G,H,I,K,L
3.0,5688702,6234306,6069986,5631065,6364928,2439800,2608242,3799173,2921919,2178584
6.0,5796504,6353554,6461020,5903040,6487656,2862340,2659174,3888330,2978976,2221237
10.0,5948190,6264480,6628079,4252908,6395610,5887431,3278000,3278000,5585108,2278172
