,A,B,C,D,E,F,G,I,J,K,L,M,N,O,P,Q,R,REAR
3.0,4690920,6058135,4683600,4667400,4683600,4683600,4683600,4599360,4683600,4683600,4811400,4672800,4683600,4687560,4583880,3702240,5074680,4917120
6.0,4898400,6149800,4675680,4668120,4675680,4675680,4675680,4633920,4675680,4675680,4847760,4674600,4675680,4688280,4622400,3759840,5150730,4991610
9.0,4889820,6242920,4747680,4739760,4747680,4747680,4747680,4709160,4747680,4747680,4918320,4746240,4747680,4759920,4694400,3817440,5097690,5067270
