,A,B,C,D,E,F,G,H,J
14.0,14388,14748,14234,14397,14597,14839,15401,14542,14877
26.0,15211,15268,14825,15324,15199,15626,16168,15071,15548
38.0,15742,16023,15535,15929,15733,16506,16419,15740,16380
