,A,B,BC,C,D,E,F,G
16.0,23383299,11662125,,15111360,9477460,8667252,8733300,12383304
32.0,24360147,12331370,,15788708,9512970,9551190,9224680,12823230
59.0,25857439,13002960,,16459168,9888384,9043677,9621315,13498198
